ticket_id,timestamp,category,ticket_text
PHX-1203,2025-09-12 00:00:00,Bill Payment,"Great interface, but the OTP takes too long to arrive."
PHX-1204,2025-11-09 00:00:00,General Feedback,Why is my account restricted? I need access to my funds now!
PHX-1205,2025-10-08 00:00:00,Airtime/Data,Customer support hasn't responded to my ticket for 3 days.
PHX-1206,2025-10-15 00:00:00,Account Issue,My transfer of 5000 to my mom failed but I was debited.
PHX-1207,2025-08-26 00:00:00,General Feedback,"I love the new UI update, very smooth."
PHX-1208,2025-10-15 00:00:00,Transfer,Double debit on my Netflix subscription. Please refund.
PHX-1209,2025-10-16 00:00:00,Transfer,I haven't received the airtime I purchased since yesterday.
PHX-1210,2025-11-09 00:00:00,Transfer,Double debit on my Netflix subscription. Please refund.
PHX-1211,2025-11-05 00:00:00,Transfer,Customer support hasn't responded to my ticket for 3 days.
PHX-1212,2025-10-13 00:00:00,Account Issue,Transaction failed but my balance was deducted. This is frustrating.
PHX-1213,2025-10-19 00:00:00,General Feedback,"Great interface, but the OTP takes too long to arrive."
PHX-1214,2025-08-17 00:00:00,Account Issue,"I love the new UI update, very smooth."
PHX-1215,2025-08-31 00:00:00,Transfer,My transfer of 5000 to my mom failed but I was debited.
PHX-1216,2025-10-22 00:00:00,Bill Payment,"I love the new UI update, very smooth."
PHX-1217,2025-09-19 00:00:00,General Feedback,Double debit on my Netflix subscription. Please refund.
PHX-1218,2025-10-29 00:00:00,General Feedback,Transaction failed but my balance was deducted. This is frustrating.
PHX-1219,2025-11-06 00:00:00,Account Issue,Why is my account restricted? I need access to my funds now!
PHX-1220,2025-10-25 00:00:00,Transfer,Transaction failed but my balance was deducted. This is frustrating.
PHX-1221,2025-09-01 00:00:00,Transfer,Customer support hasn't responded to my ticket for 3 days.
PHX-1222,2025-10-22 00:00:00,Airtime/Data,The app keeps crashing when I try to pay my electricity bill.
PHX-1223,2025-11-10 00:00:00,Transfer,Transaction failed but my balance was deducted. This is frustrating.
PHX-1224,2025-08-17 00:00:00,Airtime/Data,Why is my account restricted? I need access to my funds now!
PHX-1225,2025-08-30 00:00:00,Transfer,My transfer of 5000 to my mom failed but I was debited.
PHX-1226,2025-08-18 00:00:00,Airtime/Data,"Great interface, but the OTP takes too long to arrive."
PHX-1227,2025-10-17 00:00:00,Airtime/Data,Transaction failed but my balance was deducted. This is frustrating.
PHX-1228,2025-10-29 00:00:00,Airtime/Data,I haven't received the airtime I purchased since yesterday.
PHX-1229,2025-08-13 00:00:00,Bill Payment,I haven't received the airtime I purchased since yesterday.
PHX-1230,2025-11-04 00:00:00,Airtime/Data,I haven't received the airtime I purchased since yesterday.
PHX-1231,2025-09-01 00:00:00,Airtime/Data,I haven't received the airtime I purchased since yesterday.
PHX-1232,2025-08-15 00:00:00,Bill Payment,My transfer of 5000 to my mom failed but I was debited.
PHX-1233,2025-10-10 00:00:00,Airtime/Data,"Fast and reliable service, thank you Phlex!"
PHX-1234,2025-10-30 00:00:00,Bill Payment,The app keeps crashing when I try to pay my electricity bill.
PHX-1235,2025-08-22 00:00:00,Bill Payment,The app keeps crashing when I try to pay my electricity bill.
PHX-1236,2025-10-04 00:00:00,Bill Payment,The app keeps crashing when I try to pay my electricity bill.
PHX-1237,2025-08-21 00:00:00,Bill Payment,The app keeps crashing when I try to pay my electricity bill.
PHX-1238,2025-08-31 00:00:00,Account Issue,Customer support hasn't responded to my ticket for 3 days.
PHX-1239,2025-09-17 00:00:00,Account Issue,The app keeps crashing when I try to pay my electricity bill.
PHX-1240,2025-09-26 00:00:00,General Feedback,Double debit on my Netflix subscription. Please refund.
PHX-1241,2025-08-24 00:00:00,Account Issue,Why is my account restricted? I need access to my funds now!
PHX-1242,2025-09-03 00:00:00,Transfer,Transaction failed but my balance was deducted. This is frustrating.
PHX-1243,2025-10-22 00:00:00,Airtime/Data,Transaction failed but my balance was deducted. This is frustrating.
PHX-1244,2025-08-30 00:00:00,Account Issue,"Fast and reliable service, thank you Phlex!"
PHX-1245,2025-09-06 00:00:00,Airtime/Data,"I love the new UI update, very smooth."
PHX-1246,2025-09-06 00:00:00,Transfer,"Fast and reliable service, thank you Phlex!"
PHX-1247,2025-11-04 00:00:00,General Feedback,Customer support hasn't responded to my ticket for 3 days.
PHX-1248,2025-11-08 00:00:00,Bill Payment,Customer support hasn't responded to my ticket for 3 days.
PHX-1249,2025-09-29 00:00:00,Airtime/Data,Transaction failed but my balance was deducted. This is frustrating.
PHX-1250,2025-10-07 00:00:00,General Feedback,The app keeps crashing when I try to pay my electricity bill.
PHX-1251,2025-10-02 00:00:00,Transfer,My transfer of 5000 to my mom failed but I was debited.
PHX-1252,2025-10-10 00:00:00,General Feedback,Why is my account restricted? I need access to my funds now!
PHX-1253,2025-10-09 00:00:00,Bill Payment,I haven't received the airtime I purchased since yesterday.
PHX-1254,2025-08-30 00:00:00,General Feedback,"Fast and reliable service, thank you Phlex!"
PHX-1255,2025-10-01 00:00:00,Bill Payment,The app keeps crashing when I try to pay my electricity bill.
PHX-1256,2025-08-19 00:00:00,General Feedback,My transfer of 5000 to my mom failed but I was debited.
PHX-1257,2025-09-22 00:00:00,Bill Payment,"I love the new UI update, very smooth."
PHX-1258,2025-09-29 00:00:00,Transfer,Customer support hasn't responded to my ticket for 3 days.
PHX-1259,2025-10-17 00:00:00,Account Issue,Why is my account restricted? I need access to my funds now!
PHX-1260,2025-09-07 00:00:00,Airtime/Data,The app keeps crashing when I try to pay my electricity bill.
PHX-1261,2025-09-01 00:00:00,General Feedback,Customer support hasn't responded to my ticket for 3 days.
PHX-1262,2025-10-12 00:00:00,Transfer,Why is my account restricted? I need access to my funds now!
PHX-1263,2025-10-26 00:00:00,Account Issue,I haven't received the airtime I purchased since yesterday.
PHX-1264,2025-10-09 00:00:00,Account Issue,My transfer of 5000 to my mom failed but I was debited.
PHX-1265,2025-09-29 00:00:00,Airtime/Data,I haven't received the airtime I purchased since yesterday.
PHX-1266,2025-09-27 00:00:00,Transfer,Double debit on my Netflix subscription. Please refund.
PHX-1267,2025-08-20 00:00:00,General Feedback,Why is my account restricted? I need access to my funds now!
PHX-1268,2025-09-02 00:00:00,Bill Payment,Transaction failed but my balance was deducted. This is frustrating.
PHX-1269,2025-09-06 00:00:00,General Feedback,Double debit on my Netflix subscription. Please refund.
PHX-1270,2025-10-21 00:00:00,Account Issue,"I love the new UI update, very smooth."
PHX-1271,2025-09-16 00:00:00,Bill Payment,My transfer of 5000 to my mom failed but I was debited.
PHX-1272,2025-10-18 00:00:00,Bill Payment,"Fast and reliable service, thank you Phlex!"
PHX-1273,2025-09-13 00:00:00,General Feedback,The app keeps crashing when I try to pay my electricity bill.
PHX-1274,2025-09-25 00:00:00,General Feedback,"Great interface, but the OTP takes too long to arrive."
PHX-1275,2025-09-05 00:00:00,Transfer,The app keeps crashing when I try to pay my electricity bill.
PHX-1276,2025-10-10 00:00:00,Transfer,My transfer of 5000 to my mom failed but I was debited.
PHX-1277,2025-10-10 00:00:00,Account Issue,"Fast and reliable service, thank you Phlex!"
PHX-1278,2025-10-11 00:00:00,Transfer,Customer support hasn't responded to my ticket for 3 days.
PHX-1279,2025-09-07 00:00:00,Transfer,Customer support hasn't responded to my ticket for 3 days.
PHX-1280,2025-09-11 00:00:00,General Feedback,"Fast and reliable service, thank you Phlex!"
PHX-1281,2025-10-24 00:00:00,Airtime/Data,"Fast and reliable service, thank you Phlex!"
PHX-1282,2025-11-10 00:00:00,Account Issue,Customer support hasn't responded to my ticket for 3 days.
PHX-1283,2025-10-26 00:00:00,Transfer,Why is my account restricted? I need access to my funds now!
PHX-1284,2025-08-27 00:00:00,Airtime/Data,Why is my account restricted? I need access to my funds now!
PHX-1285,2025-10-25 00:00:00,General Feedback,Why is my account restricted? I need access to my funds now!
PHX-1286,2025-09-06 00:00:00,General Feedback,I haven't received the airtime I purchased since yesterday.
PHX-1287,2025-08-24 00:00:00,Airtime/Data,Why is my account restricted? I need access to my funds now!
PHX-1288,2025-11-03 00:00:00,Airtime/Data,"Fast and reliable service, thank you Phlex!"
PHX-1289,2025-10-19 00:00:00,General Feedback,My transfer of 5000 to my mom failed but I was debited.
PHX-1290,2025-09-30 00:00:00,Account Issue,Customer support hasn't responded to my ticket for 3 days.
PHX-1291,2025-09-15 00:00:00,General Feedback,"Fast and reliable service, thank you Phlex!"
PHX-1292,2025-11-08 00:00:00,General Feedback,"I love the new UI update, very smooth."
PHX-1293,2025-09-03 00:00:00,Account Issue,I haven't received the airtime I purchased since yesterday.
PHX-1294,2025-08-15 00:00:00,Transfer,I haven't received the airtime I purchased since yesterday.
PHX-1295,2025-10-13 00:00:00,Airtime/Data,The app keeps crashing when I try to pay my electricity bill.
PHX-1296,2025-09-28 00:00:00,Airtime/Data,Transaction failed but my balance was deducted. This is frustrating.
PHX-1297,2025-09-18 00:00:00,Bill Payment,I haven't received the airtime I purchased since yesterday.
PHX-1298,2025-10-11 00:00:00,Transfer,Why is my account restricted? I need access to my funds now!
